Case,RT,Modality,OS,Python
437,73,Visual,macOS,Python2
438,71,Visual,macOS,Python2
439,71,Visual,macOS,Python2
440,71,Visual,macOS,Python2
441,70,Visual,macOS,Python2
442,73,Visual,macOS,Python2
443,72,Visual,macOS,Python2
444,75,Visual,macOS,Python2
445,72,Visual,macOS,Python2
446,72,Visual,macOS,Python2
447,73,Visual,macOS,Python2
448,71,Visual,macOS,Python2
449,70,Visual,macOS,Python2
450,73,Visual,macOS,Python2
451,74,Visual,macOS,Python2
452,73,Visual,macOS,Python2
453,75,Visual,macOS,Python2
454,72,Visual,macOS,Python2
455,74,Visual,macOS,Python2
456,71,Visual,macOS,Python2
457,70,Visual,macOS,Python2
458,71,Visual,macOS,Python2
459,72,Visual,macOS,Python2
460,72,Visual,macOS,Python2
461,71,Visual,macOS,Python2
462,72,Visual,macOS,Python2
463,72,Visual,macOS,Python2
464,71,Visual,macOS,Python2
465,71,Visual,macOS,Python2
466,72,Visual,macOS,Python2
467,71,Visual,macOS,Python2
468,73,Visual,macOS,Python2
469,71,Visual,macOS,Python2
470,72,Visual,macOS,Python2
471,74,Visual,macOS,Python2
472,74,Visual,macOS,Python2
473,72,Visual,macOS,Python2
474,71,Visual,macOS,Python2
475,70,Visual,macOS,Python2
476,72,Visual,macOS,Python2
477,73,Visual,macOS,Python2
478,74,Visual,macOS,Python2
479,71,Visual,macOS,Python2
480,72,Visual,macOS,Python2
481,71,Visual,macOS,Python2
482,73,Visual,macOS,Python2
483,71,Visual,macOS,Python2
484,71,Visual,macOS,Python2
485,72,Visual,macOS,Python2
486,71,Visual,macOS,Python2
487,71,Visual,macOS,Python2
488,71,Visual,macOS,Python2
489,70,Visual,macOS,Python2
490,71,Visual,macOS,Python2
491,71,Visual,macOS,Python2
492,71,Visual,macOS,Python2
493,72,Visual,macOS,Python2
494,71,Visual,macOS,Python2
495,74,Visual,macOS,Python2
496,70,Visual,macOS,Python2
497,71,Visual,macOS,Python2
498,71,Visual,macOS,Python2
499,72,Visual,macOS,Python2
500,72,Visual,macOS,Python2
501,48,Visual,Ubuntu,Python2
502,48,Visual,Ubuntu,Python2
503,48,Visual,Ubuntu,Python2
504,64,Visual,Ubuntu,Python2
505,48,Visual,Ubuntu,Python2
506,64,Visual,Ubuntu,Python2
507,48,Visual,Ubuntu,Python2
508,48,Visual,Ubuntu,Python2
509,48,Visual,Ubuntu,Python2
510,48,Visual,Ubuntu,Python2
511,48,Visual,Ubuntu,Python2
512,48,Visual,Ubuntu,Python2
513,48,Visual,Ubuntu,Python2
514,48,Visual,Ubuntu,Python2
515,48,Visual,Ubuntu,Python2
516,48,Visual,Ubuntu,Python2
517,48,Visual,Ubuntu,Python2
518,64,Visual,Ubuntu,Python2
519,48,Visual,Ubuntu,Python2
520,64,Visual,Ubuntu,Python2
521,48,Visual,Ubuntu,Python2
522,48,Visual,Ubuntu,Python2
523,48,Visual,Ubuntu,Python2
524,48,Visual,Ubuntu,Python2
525,48,Visual,Ubuntu,Python2
526,48,Visual,Ubuntu,Python2
527,64,Visual,Ubuntu,Python2
528,48,Visual,Ubuntu,Python2
529,64,Visual,Ubuntu,Python2
530,48,Visual,Ubuntu,Python2
531,48,Visual,Ubuntu,Python2
532,48,Visual,Ubuntu,Python2
533,48,Visual,Ubuntu,Python2
534,64,Visual,Ubuntu,Python2
535,48,Visual,Ubuntu,Python2
536,64,Visual,Ubuntu,Python2
537,48,Visual,Ubuntu,Python2
538,64,Visual,Ubuntu,Python2
539,48,Visual,Ubuntu,Python2
540,48,Visual,Ubuntu,Python2
541,48,Visual,Ubuntu,Python2
542,48,Visual,Ubuntu,Python2
543,64,Visual,Ubuntu,Python2
544,48,Visual,Ubuntu,Python2
545,48,Visual,Ubuntu,Python2
546,48,Visual,Ubuntu,Python2
547,48,Visual,Ubuntu,Python2
548,64,Visual,Ubuntu,Python2
549,48,Visual,Ubuntu,Python2
550,64,Visual,Ubuntu,Python2
551,48,Visual,Ubuntu,Python2
552,48,Visual,Ubuntu,Python2
553,48,Visual,Ubuntu,Python2
554,48,Visual,Ubuntu,Python2
555,64,Visual,Ubuntu,Python2
556,48,Visual,Ubuntu,Python2
557,64,Visual,Ubuntu,Python2
558,48,Visual,Ubuntu,Python2
559,64,Visual,Ubuntu,Python2
560,48,Visual,Ubuntu,Python2
561,48,Visual,Ubuntu,Python2
562,64,Visual,Ubuntu,Python2
563,48,Visual,Ubuntu,Python2
564,64,Visual,Ubuntu,Python2
565,48,Visual,Ubuntu,Python2
566,64,Visual,Ubuntu,Python2
567,48,Visual,Ubuntu,Python2
568,48,Visual,Ubuntu,Python2
569,48,Visual,Ubuntu,Python2
570,48,Visual,Ubuntu,Python2
571,64,Visual,Ubuntu,Python2
572,48,Visual,Ubuntu,Python2
573,64,Visual,Ubuntu,Python2
574,48,Visual,Ubuntu,Python2
575,48,Visual,Ubuntu,Python2
576,48,Visual,Ubuntu,Python2
577,48,Visual,Ubuntu,Python2
578,64,Visual,Ubuntu,Python2
579,48,Visual,Ubuntu,Python2
580,64,Visual,Ubuntu,Python2
581,48,Visual,Ubuntu,Python2
582,64,Visual,Ubuntu,Python2
583,48,Visual,Ubuntu,Python2
584,48,Visual,Ubuntu,Python2
585,48,Visual,Ubuntu,Python2
586,48,Visual,Ubuntu,Python2
587,64,Visual,Ubuntu,Python2
588,48,Visual,Ubuntu,Python2
589,64,Visual,Ubuntu,Python2
590,48,Visual,Ubuntu,Python2
591,64,Visual,Ubuntu,Python2
592,48,Visual,Ubuntu,Python2
593,48,Visual,Ubuntu,Python2
594,64,Visual,Ubuntu,Python2
595,48,Visual,Ubuntu,Python2
596,64,Visual,Ubuntu,Python2
597,48,Visual,Ubuntu,Python2
598,64,Visual,Ubuntu,Python2
599,48,Visual,Ubuntu,Python2
600,48,Visual,Ubuntu,Python2
601,71,Visual,macOS,Python3
602,71,Visual,macOS,Python3
603,70,Visual,macOS,Python3
604,71,Visual,macOS,Python3
605,72,Visual,macOS,Python3
606,72,Visual,macOS,Python3
607,70,Visual,macOS,Python3
608,71,Visual,macOS,Python3
609,70,Visual,macOS,Python3
610,71,Visual,macOS,Python3
611,71,Visual,macOS,Python3
612,70,Visual,macOS,Python3
613,72,Visual,macOS,Python3
614,88,Visual,macOS,Python3
615,87,Visual,macOS,Python3
616,69,Visual,macOS,Python3
617,88,Visual,macOS,Python3
618,70,Visual,macOS,Python3
619,70,Visual,macOS,Python3
620,70,Visual,macOS,Python3
621,70,Visual,macOS,Python3
622,70,Visual,macOS,Python3
623,71,Visual,macOS,Python3
624,70,Visual,macOS,Python3
625,70,Visual,macOS,Python3
626,71,Visual,macOS,Python3
627,70,Visual,macOS,Python3
628,70,Visual,macOS,Python3
629,72,Visual,macOS,Python3
630,71,Visual,macOS,Python3
631,71,Visual,macOS,Python3
632,72,Visual,macOS,Python3
633,71,Visual,macOS,Python3
634,71,Visual,macOS,Python3
635,87,Visual,macOS,Python3
636,71,Visual,macOS,Python3
637,70,Visual,macOS,Python3
638,72,Visual,macOS,Python3
639,71,Visual,macOS,Python3
640,70,Visual,macOS,Python3
641,70,Visual,macOS,Python3
642,72,Visual,macOS,Python3
643,70,Visual,macOS,Python3
644,71,Visual,macOS,Python3
645,71,Visual,macOS,Python3
646,71,Visual,macOS,Python3
647,71,Visual,macOS,Python3
648,73,Visual,macOS,Python3
649,70,Visual,macOS,Python3
650,70,Visual,macOS,Python3
651,70,Visual,macOS,Python3
652,70,Visual,macOS,Python3
653,72,Visual,macOS,Python3
654,72,Visual,macOS,Python3
655,70,Visual,macOS,Python3
656,72,Visual,macOS,Python3
657,71,Visual,macOS,Python3
658,89,Visual,macOS,Python3
659,70,Visual,macOS,Python3
660,75,Visual,macOS,Python3
661,71,Visual,macOS,Python3
662,71,Visual,macOS,Python3
663,88,Visual,macOS,Python3
664,72,Visual,macOS,Python3
665,71,Visual,macOS,Python3
666,72,Visual,macOS,Python3
667,73,Visual,macOS,Python3
668,74,Visual,macOS,Python3
669,72,Visual,macOS,Python3
670,70,Visual,macOS,Python3
671,70,Visual,macOS,Python3
672,71,Visual,macOS,Python3
673,73,Visual,macOS,Python3
674,70,Visual,macOS,Python3
675,73,Visual,macOS,Python3
676,72,Visual,macOS,Python3
677,71,Visual,macOS,Python3
678,88,Visual,macOS,Python3
679,71,Visual,macOS,Python3
680,71,Visual,macOS,Python3
681,70,Visual,macOS,Python3
682,69,Visual,macOS,Python3
683,69,Visual,macOS,Python3
684,71,Visual,macOS,Python3
685,70,Visual,macOS,Python3
686,70,Visual,macOS,Python3
687,71,Visual,macOS,Python3
688,71,Visual,macOS,Python3
689,70,Visual,macOS,Python3
690,70,Visual,macOS,Python3
691,71,Visual,macOS,Python3
692,70,Visual,macOS,Python3
693,71,Visual,macOS,Python3
694,70,Visual,macOS,Python3
695,71,Visual,macOS,Python3
696,71,Visual,macOS,Python3
697,71,Visual,macOS,Python3
698,71,Visual,macOS,Python3
699,72,Visual,macOS,Python3
700,71,Visual,macOS,Python3
701,64,Visual,Ubuntu,Python3
702,64,Visual,Ubuntu,Python3
703,64,Visual,Ubuntu,Python3
704,64,Visual,Ubuntu,Python3
705,64,Visual,Ubuntu,Python3
706,64,Visual,Ubuntu,Python3
707,64,Visual,Ubuntu,Python3
708,64,Visual,Ubuntu,Python3
709,64,Visual,Ubuntu,Python3
710,64,Visual,Ubuntu,Python3
711,64,Visual,Ubuntu,Python3
712,64,Visual,Ubuntu,Python3
713,64,Visual,Ubuntu,Python3
714,64,Visual,Ubuntu,Python3
715,64,Visual,Ubuntu,Python3
716,64,Visual,Ubuntu,Python3
717,64,Visual,Ubuntu,Python3
718,64,Visual,Ubuntu,Python3
719,64,Visual,Ubuntu,Python3
720,64,Visual,Ubuntu,Python3
721,64,Visual,Ubuntu,Python3
722,64,Visual,Ubuntu,Python3
723,64,Visual,Ubuntu,Python3
724,64,Visual,Ubuntu,Python3
725,64,Visual,Ubuntu,Python3
726,64,Visual,Ubuntu,Python3
727,64,Visual,Ubuntu,Python3
728,64,Visual,Ubuntu,Python3
729,64,Visual,Ubuntu,Python3
730,64,Visual,Ubuntu,Python3
731,64,Visual,Ubuntu,Python3
732,64,Visual,Ubuntu,Python3
733,64,Visual,Ubuntu,Python3
734,64,Visual,Ubuntu,Python3
735,64,Visual,Ubuntu,Python3
736,48,Visual,Ubuntu,Python3
737,64,Visual,Ubuntu,Python3
738,64,Visual,Ubuntu,Python3
739,64,Visual,Ubuntu,Python3
740,64,Visual,Ubuntu,Python3
741,64,Visual,Ubuntu,Python3
742,64,Visual,Ubuntu,Python3
743,48,Visual,Ubuntu,Python3
744,64,Visual,Ubuntu,Python3
745,64,Visual,Ubuntu,Python3
746,64,Visual,Ubuntu,Python3
747,64,Visual,Ubuntu,Python3
748,64,Visual,Ubuntu,Python3
749,64,Visual,Ubuntu,Python3
750,64,Visual,Ubuntu,Python3
751,64,Visual,Ubuntu,Python3
752,64,Visual,Ubuntu,Python3
753,64,Visual,Ubuntu,Python3
754,64,Visual,Ubuntu,Python3
755,64,Visual,Ubuntu,Python3
756,64,Visual,Ubuntu,Python3
757,64,Visual,Ubuntu,Python3
758,64,Visual,Ubuntu,Python3
759,64,Visual,Ubuntu,Python3
760,64,Visual,Ubuntu,Python3
761,64,Visual,Ubuntu,Python3
762,48,Visual,Ubuntu,Python3
763,64,Visual,Ubuntu,Python3
764,64,Visual,Ubuntu,Python3
765,64,Visual,Ubuntu,Python3
766,64,Visual,Ubuntu,Python3
767,64,Visual,Ubuntu,Python3
768,64,Visual,Ubuntu,Python3
769,48,Visual,Ubuntu,Python3
770,64,Visual,Ubuntu,Python3
771,64,Visual,Ubuntu,Python3
772,64,Visual,Ubuntu,Python3
773,64,Visual,Ubuntu,Python3
774,64,Visual,Ubuntu,Python3
